index,localhour,use,humidity,celsius
225862,2018-01-02 01:00:00,0.31,0.78,15.82777777777778
225863,2018-01-02 02:00:00,0.273,0.85,14.555555555555555
225864,2018-01-02 03:00:00,0.305,0.88,13.694444444444445
225865,2018-01-02 04:00:00,0.34600000000000003,0.9,13.283333333333331
225866,2018-01-02 05:00:00,0.391,0.91,12.894444444444446
225867,2018-01-02 06:00:00,0.27899999999999997,0.88,12.538888888888888
225868,2018-01-02 07:00:00,0.307,0.85,12.194444444444446
225869,2018-01-02 08:00:00,0.301,0.9,12.388888888888888
225870,2018-01-02 09:00:00,0.249,0.9,12.188888888888888
225871,2018-01-02 10:00:00,0.29100000000000004,0.89,11.805555555555555
225872,2018-01-02 11:00:00,0.294,0.89,11.372222222222222
225873,2018-01-02 12:00:00,0.252,0.89,11.22777777777778
225874,2018-01-02 13:00:00,0.258,0.89,11.327777777777778
225875,2018-01-02 14:00:00,0.27899999999999997,0.9,12.0
225876,2018-01-02 15:00:00,0.614,0.91,12.177777777777779
225877,2018-01-02 16:00:00,1.138,0.89,12.711111111111112
225878,2018-01-02 17:00:00,0.365,0.73,15.36111111111111
225879,2018-01-02 18:00:00,0.264,0.57,18.388888888888886
225880,2018-01-02 19:00:00,0.259,0.47,21.0
225881,2018-01-02 20:00:00,0.257,0.46,22.11111111111111
225882,2018-01-02 21:00:00,0.257,0.42,23.033333333333328
225883,2018-01-02 22:00:00,0.261,0.43,22.45
225884,2018-01-02 23:00:00,0.231,0.45,21.98333333333333
225885,2018-01-03 00:00:00,0.305,0.41,21.51111111111111
225886,2018-01-03 01:00:00,0.47100000000000003,0.47,19.53333333333333
225887,2018-01-03 02:00:00,2.3569999999999998,0.55,17.866666666666664
225888,2018-01-03 03:00:00,1.0070000000000001,0.61,16.95
225889,2018-01-03 04:00:00,1.055,0.71,15.983333333333336
225890,2018-01-03 05:00:00,0.723,0.77,15.227777777777776
225891,2018-01-03 06:00:00,0.312,0.75,14.655555555555557
225892,2018-01-03 07:00:00,0.253,0.7,14.027777777777779
225893,2018-01-03 08:00:00,0.251,0.78,13.72777777777778
225894,2018-01-03 09:00:00,0.249,0.79,13.15
225895,2018-01-03 10:00:00,0.262,0.8,12.916666666666666
225896,2018-01-03 11:00:00,0.259,0.79,12.844444444444443
225897,2018-01-03 12:00:00,0.233,0.79,12.36111111111111
225898,2018-01-03 13:00:00,0.225,0.79,12.227777777777776
225899,2018-01-03 14:00:00,0.523,0.75,12.422222222222222
225900,2018-01-03 15:00:00,0.812,0.66,13.077777777777776
225901,2018-01-03 16:00:00,0.865,0.58,14.005555555555556
225902,2018-01-03 17:00:00,1.012,0.68,15.094444444444447
225903,2018-01-03 18:00:00,1.295,0.69,16.211111111111112
225904,2018-01-03 19:00:00,1.327,0.63,17.772222222222226
225905,2018-01-03 20:00:00,1.189,0.54,19.516666666666666
225906,2018-01-03 21:00:00,0.598,0.53,20.505555555555553
225907,2018-01-03 22:00:00,0.809,0.52,20.761111111111113
225908,2018-01-03 23:00:00,0.315,0.46,21.33888888888889
225909,2018-01-04 00:00:00,0.228,0.49,20.605555555555558
225910,2018-01-04 01:00:00,0.429,0.74,16.93888888888889
225911,2018-01-04 02:00:00,0.544,0.84,15.988888888888889
225912,2018-01-04 03:00:00,0.555,0.85,15.605555555555558
225913,2018-01-04 04:00:00,0.602,0.85,15.383333333333333
225914,2018-01-04 05:00:00,0.332,0.87,15.13888888888889
225915,2018-01-04 06:00:00,0.252,0.85,14.63888888888889
225916,2018-01-04 07:00:00,0.23199999999999998,0.82,13.983333333333334
225917,2018-01-04 08:00:00,0.233,0.9,14.400000000000002
225918,2018-01-04 09:00:00,0.20199999999999999,0.9,14.133333333333333
225919,2018-01-04 10:00:00,0.22699999999999998,0.87,13.666666666666666
225920,2018-01-04 11:00:00,0.245,0.86,13.044444444444443
225921,2018-01-04 12:00:00,0.221,0.86,12.605555555555554
225922,2018-01-04 13:00:00,0.188,0.85,11.955555555555557
225923,2018-01-04 14:00:00,0.312,0.84,11.605555555555556
225924,2018-01-04 15:00:00,0.33399999999999996,0.82,11.238888888888887
225925,2018-01-04 16:00:00,0.48200000000000004,0.8,11.844444444444443
225926,2018-01-04 17:00:00,0.435,0.62,15.061111111111112
225927,2018-01-04 18:00:00,0.33,0.45,19.172222222222224
225928,2018-01-04 19:00:00,0.426,0.37,21.29444444444444
225929,2018-01-04 20:00:00,0.37200000000000005,0.38,22.227777777777778
225930,2018-01-04 21:00:00,0.302,0.39,22.43333333333333
225931,2018-01-04 22:00:00,0.341,0.37,22.561111111111114
225932,2018-01-04 23:00:00,0.406,0.37,22.399999999999995
225933,2018-01-05 00:00:00,0.345,0.38,21.46111111111111
225934,2018-01-05 01:00:00,0.315,0.41,19.73888888888889
225935,2018-01-05 02:00:00,0.38799999999999996,0.43,18.716666666666665
225936,2018-01-05 03:00:00,0.45799999999999996,0.45,17.672222222222224
225937,2018-01-05 04:00:00,0.389,0.52,16.633333333333333
225938,2018-01-05 05:00:00,0.301,0.5,16.049999999999997
225939,2018-01-05 06:00:00,0.18,0.55,15.488888888888889
225940,2018-01-05 07:00:00,0.195,0.62,14.983333333333333
225941,2018-01-05 08:00:00,0.209,0.58,14.255555555555553
225942,2018-01-05 09:00:00,0.207,0.61,13.577777777777776
225943,2018-01-05 10:00:00,0.185,0.66,12.955555555555556
225944,2018-01-05 11:00:00,0.214,0.68,12.82777777777778
225945,2018-01-05 12:00:00,0.21,0.67,12.505555555555553
225946,2018-01-05 13:00:00,0.256,0.61,12.588888888888887
225947,2018-01-05 14:00:00,0.21899999999999997,0.59,12.455555555555556
225948,2018-01-05 15:00:00,0.47600000000000003,0.59,12.799999999999999
225949,2018-01-05 16:00:00,0.24600000000000002,0.59,14.138888888888891
225950,2018-01-05 17:00:00,0.218,0.53,17.016666666666666
225951,2018-01-05 18:00:00,0.20600000000000002,0.49,19.555555555555557
225952,2018-01-05 19:00:00,0.195,0.47,21.34444444444445
225953,2018-01-05 20:00:00,0.16699999999999998,0.47,22.344444444444445
225954,2018-01-05 21:00:00,0.20800000000000002,0.53,22.17777777777778
225955,2018-01-05 22:00:00,0.20600000000000002,0.55,22.283333333333335
225956,2018-01-05 23:00:00,0.331,0.59,21.916666666666668
225957,2018-01-06 00:00:00,0.20199999999999999,0.71,19.516666666666666
225958,2018-01-06 01:00:00,0.386,0.83,16.93333333333333
225959,2018-01-06 02:00:00,0.439,0.89,15.988888888888889
225960,2018-01-06 03:00:00,0.449,0.91,15.705555555555557
225961,2018-01-06 04:00:00,0.451,0.9,15.455555555555556
225962,2018-01-06 05:00:00,0.42100000000000004,0.91,15.277777777777779
225963,2018-01-06 06:00:00,0.354,0.9,14.86111111111111
225964,2018-01-06 07:00:00,0.231,0.89,14.655555555555557
225965,2018-01-06 08:00:00,0.198,0.93,14.422222222222224
225966,2018-01-06 09:00:00,0.16899999999999998,0.92,14.094444444444443
225967,2018-01-06 10:00:00,0.22699999999999998,0.92,14.149999999999999
225968,2018-01-06 11:00:00,0.22,0.88,14.327777777777776
225969,2018-01-06 12:00:00,0.16699999999999998,0.88,14.472222222222221
225970,2018-01-06 13:00:00,0.196,0.89,14.366666666666667
225971,2018-01-06 14:00:00,0.205,0.88,14.33888888888889
225972,2018-01-06 15:00:00,0.214,0.91,14.166666666666666
225973,2018-01-06 16:00:00,0.21600000000000003,0.91,14.266666666666667
225974,2018-01-06 17:00:00,0.24100000000000002,0.85,15.650000000000002
225975,2018-01-06 18:00:00,0.204,0.73,17.944444444444443
225976,2018-01-06 19:00:00,0.165,0.65,19.74444444444445
225977,2018-01-06 20:00:00,0.253,0.59,21.483333333333334
225978,2018-01-06 21:00:00,0.266,0.61,20.86111111111111
225979,2018-01-06 22:00:00,0.16699999999999998,0.64,20.383333333333333
225980,2018-01-06 23:00:00,0.23800000000000002,0.65,20.155555555555555
225981,2018-01-07 00:00:00,0.39399999999999996,0.76,17.76111111111111
225982,2018-01-07 01:00:00,0.413,0.84,16.255555555555553
225983,2018-01-07 02:00:00,0.41200000000000003,0.88,15.82222222222222
225984,2018-01-07 03:00:00,0.41,0.89,15.583333333333334
225985,2018-01-07 04:00:00,0.72,0.89,15.294444444444444
225986,2018-01-07 05:00:00,0.512,0.89,15.166666666666666
225987,2018-01-07 06:00:00,0.43799999999999994,0.9,14.794444444444444
225988,2018-01-07 07:00:00,0.375,0.9,14.594444444444447
225989,2018-01-07 08:00:00,0.358,0.88,14.483333333333333
225990,2018-01-07 09:00:00,0.247,0.9,14.116666666666665
225991,2018-01-07 10:00:00,0.258,0.9,13.633333333333333
225992,2018-01-07 11:00:00,0.255,0.9,13.194444444444445
225993,2018-01-07 12:00:00,0.242,0.91,13.011111111111113
225994,2018-01-07 13:00:00,0.242,0.9,12.877777777777778
225995,2018-01-07 14:00:00,0.24100000000000002,0.89,12.799999999999999
225996,2018-01-07 15:00:00,0.24,0.9,12.427777777777777
225997,2018-01-07 16:00:00,0.508,0.88,12.938888888888888
225998,2018-01-07 17:00:00,0.401,0.79,14.833333333333334
225999,2018-01-07 18:00:00,0.42,0.7,17.127777777777776
226000,2018-01-07 19:00:00,0.258,0.62,19.47222222222222
226001,2018-01-07 20:00:00,0.20199999999999999,0.59,20.52777777777778
226002,2018-01-07 21:00:00,0.289,0.59,20.494444444444444
226003,2018-01-07 22:00:00,0.204,0.59,20.666666666666668
226004,2018-01-07 23:00:00,0.31,0.62,19.833333333333332
226005,2018-01-08 00:00:00,0.5489999999999999,0.67,18.850000000000005
226006,2018-01-08 01:00:00,0.8390000000000001,0.71,17.711111111111112
226007,2018-01-08 02:00:00,0.986,0.74,16.95
226008,2018-01-08 03:00:00,0.982,0.75,16.744444444444444
226009,2018-01-08 04:00:00,0.8859999999999999,0.75,16.66111111111111
226010,2018-01-08 05:00:00,0.327,0.75,16.6
226011,2018-01-08 06:00:00,0.32799999999999996,0.75,16.283333333333335
226012,2018-01-08 07:00:00,0.233,0.77,15.82222222222222
226013,2018-01-08 08:00:00,0.20600000000000002,0.78,16.06666666666667
226014,2018-01-08 09:00:00,0.20600000000000002,0.78,15.933333333333334
226015,2018-01-08 10:00:00,0.198,0.81,15.805555555555555
226016,2018-01-08 11:00:00,0.191,0.83,15.527777777777779
226017,2018-01-08 12:00:00,0.192,0.82,15.377777777777778
226018,2018-01-08 13:00:00,0.20199999999999999,0.81,15.333333333333334
226019,2018-01-08 14:00:00,0.268,0.78,15.5
226020,2018-01-08 15:00:00,0.6970000000000001,0.76,15.68888888888889
226021,2018-01-08 16:00:00,0.19899999999999998,0.76,15.972222222222221
226022,2018-01-08 17:00:00,0.171,0.73,16.72222222222222
226023,2018-01-08 18:00:00,0.195,0.66,18.41111111111111
226024,2018-01-08 19:00:00,0.204,0.63,19.544444444444448
226025,2018-01-08 20:00:00,0.20600000000000002,0.57,20.92777777777778
226026,2018-01-08 21:00:00,0.183,0.49,22.23888888888889
226027,2018-01-08 22:00:00,0.182,0.54,20.966666666666665
226028,2018-01-08 23:00:00,0.207,0.63,19.549999999999997
226029,2018-01-09 00:00:00,0.20800000000000002,0.65,19.08888888888889
226030,2018-01-09 01:00:00,0.21100000000000002,0.73,18.022222222222222
226031,2018-01-09 02:00:00,0.324,0.87,16.305555555555557
226032,2018-01-09 03:00:00,0.37200000000000005,0.87,16.044444444444444
226033,2018-01-09 04:00:00,0.39,0.81,16.244444444444447
226034,2018-01-09 05:00:00,0.37,0.78,16.57777777777778
226035,2018-01-09 06:00:00,0.40399999999999997,0.78,16.34444444444445
226036,2018-01-09 07:00:00,0.233,0.77,16.311111111111114
226037,2018-01-09 08:00:00,0.17300000000000001,0.9,16.188888888888886
226038,2018-01-09 09:00:00,0.19899999999999998,0.9,15.494444444444444
226039,2018-01-09 10:00:00,0.21899999999999997,0.91,15.311111111111112
226040,2018-01-09 11:00:00,0.247,0.92,14.972222222222221
226041,2018-01-09 12:00:00,0.327,0.89,15.272222222222224
226042,2018-01-09 13:00:00,0.19699999999999998,0.9,15.605555555555558
226043,2018-01-09 14:00:00,0.225,0.92,16.87222222222222
226044,2018-01-09 15:00:00,0.425,0.91,15.599999999999998
226045,2018-01-09 16:00:00,0.193,0.92,13.394444444444444
226046,2018-01-09 17:00:00,0.16699999999999998,0.92,13.394444444444444
226047,2018-01-09 18:00:00,0.204,0.92,13.861111111111112
226048,2018-01-09 19:00:00,0.204,0.88,14.31666666666667
226049,2018-01-09 20:00:00,0.171,0.78,15.716666666666665
226050,2018-01-09 21:00:00,0.188,0.73,16.216666666666665
226051,2018-01-09 22:00:00,0.20600000000000002,0.72,15.966666666666669
226052,2018-01-09 23:00:00,0.187,0.82,14.372222222222222
226053,2018-01-10 00:00:00,0.174,0.88,13.544444444444444
226054,2018-01-10 01:00:00,0.33899999999999997,0.91,13.072222222222223
226055,2018-01-10 02:00:00,0.635,0.92,12.783333333333331
226056,2018-01-10 03:00:00,0.616,0.92,12.972222222222221
226057,2018-01-10 04:00:00,0.643,0.92,13.177777777777777
226058,2018-01-10 05:00:00,0.46399999999999997,0.92,13.166666666666668
226059,2018-01-10 06:00:00,0.342,0.9,13.438888888888888
226060,2018-01-10 07:00:00,0.184,0.89,13.77222222222222
226061,2018-01-10 08:00:00,0.276,0.9,13.16111111111111
226062,2018-01-10 09:00:00,0.249,0.9,13.299999999999999
226063,2018-01-10 10:00:00,0.185,0.91,13.16111111111111
226064,2018-01-10 11:00:00,0.308,0.92,13.06666666666667
226065,2018-01-10 12:00:00,0.20800000000000002,0.92,13.083333333333332
226066,2018-01-10 13:00:00,0.235,0.92,13.0
226067,2018-01-10 14:00:00,0.35700000000000004,0.92,12.866666666666665
226068,2018-01-10 15:00:00,0.539,0.93,12.872222222222224
226069,2018-01-10 16:00:00,0.20199999999999999,0.93,13.122222222222222
226070,2018-01-10 17:00:00,0.268,0.91,13.566666666666668
226071,2018-01-10 18:00:00,0.185,0.89,14.000000000000002
226072,2018-01-10 19:00:00,0.24,0.86,14.483333333333333
226073,2018-01-10 20:00:00,0.20199999999999999,0.84,14.833333333333334
226074,2018-01-10 21:00:00,0.177,0.81,15.216666666666665
226075,2018-01-10 22:00:00,0.24600000000000002,0.79,15.577777777777776
226076,2018-01-10 23:00:00,0.203,0.78,15.716666666666665
226077,2018-01-11 00:00:00,0.18100000000000002,0.78,15.42777777777778
226078,2018-01-11 01:00:00,0.306,0.81,14.683333333333334
226079,2018-01-11 02:00:00,0.613,0.82,14.17777777777778
226080,2018-01-11 03:00:00,0.693,0.85,13.649999999999999
226081,2018-01-11 04:00:00,1.0090000000000001,0.87,13.18333333333333
226082,2018-01-11 05:00:00,0.73,0.89,12.655555555555557
226083,2018-01-11 06:00:00,0.306,0.9,12.316666666666668
226084,2018-01-11 07:00:00,0.185,0.89,12.183333333333334
226085,2018-01-11 08:00:00,0.302,0.92,11.694444444444443
226086,2018-01-11 09:00:00,0.258,0.93,11.527777777777779
226087,2018-01-11 10:00:00,0.262,0.92,11.205555555555556
226088,2018-01-11 11:00:00,0.247,0.93,10.777777777777779
226089,2018-01-11 12:00:00,0.278,0.94,10.511111111111113
226090,2018-01-11 13:00:00,0.23399999999999999,0.94,10.055555555555555
226091,2018-01-11 14:00:00,0.243,0.93,9.988888888888887
226092,2018-01-11 15:00:00,0.473,0.94,9.894444444444446
226093,2018-01-11 16:00:00,0.355,0.93,10.766666666666667
226094,2018-01-11 17:00:00,0.308,0.87,13.050000000000002
226095,2018-01-11 18:00:00,0.20800000000000002,0.76,15.405555555555553
226096,2018-01-11 19:00:00,0.245,0.7,16.87222222222222
226097,2018-01-11 20:00:00,0.204,0.63,18.577777777777776
226098,2018-01-11 21:00:00,0.158,0.58,20.09444444444445
226099,2018-01-11 22:00:00,0.205,0.58,20.366666666666664
226100,2018-01-11 23:00:00,0.205,0.57,20.605555555555558
226101,2018-01-12 00:00:00,0.20800000000000002,0.62,20.06666666666667
226102,2018-01-12 01:00:00,0.23399999999999999,0.71,17.77777777777778
226103,2018-01-12 02:00:00,0.391,0.81,15.705555555555557
226104,2018-01-12 03:00:00,0.607,0.84,14.899999999999999
226105,2018-01-12 04:00:00,0.547,0.87,14.333333333333334
226106,2018-01-12 05:00:00,0.483,0.88,13.777777777777777
226107,2018-01-12 06:00:00,0.488,0.87,13.522222222222224
226108,2018-01-12 07:00:00,0.205,0.84,13.394444444444444
226109,2018-01-12 08:00:00,0.21,0.89,12.716666666666667
226110,2018-01-12 09:00:00,0.18899999999999997,0.92,12.238888888888889
226111,2018-01-12 10:00:00,0.183,0.93,12.127777777777776
226112,2018-01-12 11:00:00,0.215,0.93,11.555555555555554
226113,2018-01-12 12:00:00,0.27699999999999997,0.93,11.033333333333333
226114,2018-01-12 13:00:00,0.21100000000000002,0.94,10.466666666666669
226115,2018-01-12 14:00:00,0.263,0.93,10.399999999999999
226116,2018-01-12 15:00:00,0.61,0.92,10.311111111111112
226117,2018-01-12 16:00:00,0.261,0.9,11.533333333333331
226118,2018-01-12 17:00:00,0.298,0.84,13.544444444444444
226119,2018-01-12 18:00:00,0.254,0.71,16.43888888888889
226120,2018-01-12 19:00:00,0.163,0.63,18.755555555555556
226121,2018-01-12 20:00:00,0.21,0.6,20.06666666666667
226122,2018-01-12 21:00:00,0.24100000000000002,0.55,20.98888888888889
226123,2018-01-12 22:00:00,0.174,0.53,21.45555555555556
226124,2018-01-12 23:00:00,0.19,0.56,20.450000000000003
226125,2018-01-13 00:00:00,0.207,0.63,19.111111111111114
226126,2018-01-13 01:00:00,0.22899999999999998,0.71,17.055555555555557
226127,2018-01-13 02:00:00,0.473,0.81,15.350000000000001
226128,2018-01-13 03:00:00,0.423,0.84,14.57777777777778
226129,2018-01-13 04:00:00,0.384,0.87,14.027777777777779
